"country","alcoloholPerYear","alcoholPerDay","beer%","wine%","spirits%"
"Gabon","17.2000","37.2000","76.3000","9.2000","13.4000"
"Saint Kitts and Nevis","17.1000","37","47.8000","6.5000","43.4000"
"Hungary","17.1000","37","35.5000","32.2000","32.3000"
"Poland","17.1000","37","56.1000","7.8000","36.1000"
"Cape Verde","17","36.7000","55","45","0"
"Fiji","16.9000","36.5000","69.8000","1.2000","28.9000"
"Germany","16.9000","36.5000","52.6000","28.4000","18.9000"
"France","16.7000","36.1000","18.8000","58.8000","20.7000"
"Slovakia","16.6000","35.8000","33.7000","20.9000","41.9000"
"Guinea-Bissau","16.5000","35.6000","13.7000","31.3000","13.7000"
"Panama","16.5000","35.7000","76.9000","3.5000","19.4000"
"Haiti","16.5000","35.6000","2.3000","0.3000","97.3000"
"Belize","16.3000","35.1000","69.1000","1.9000","26.7000"
"Micronesia","16.1000","34.9000","58.1000","8.5000","32.8000"
"Guyana","16.1000","34.7000","48.4000","0.2000","50.8000"
"Ireland","16","34.6000","47","28","18.8000"
